RM,MEDV
6.417,24.6
6.417,25
6.421,23
6.425,22.2
6.426,19.3
6.43,22.6
6.431,17.1
6.431,19.8
6.433,19.4
6.434,22.2
6.436,20.7
6.437,21.1
6.438,19.5
6.442,18.5
6.453,20.6
6.454,19
6.456,18.7
6.458,32.7
6.459,16.5
6.461,23.9
6.471,31.2
6.474,17.5
6.481,17.2
6.482,23.1
6.484,24.5
6.485,26.6
6.487,22.9
6.49,24.1
6.495,18.6
6.495,30.1
6.51,18.2
6.511,20.6
6.513,17.8
6.516,21.7
6.525,22.7
6.538,22.6
6.54,25
6.545,19.9
6.546,20.8
6.549,16.8
6.552,21.9
6.556,27.5
6.563,21.9
6.565,23.1
6.567,50
6.575,50
6.579,50
6.59,50
6.593,50
6.595,13.8
6.604,13.8
6.606,15
6.616,13.9
6.618,13.3
6.619,13.1
6.625,10.2
6.629,10.4
6.63,10.9
6.63,11.3
6.631,12.3
6.635,7.2
6.635,8.8
6.642,10.5
6.649,7.4
6.655,10.2
6.657,11.5
6.674,15.1
6.678,23.2
6.683,9.7
6.696,13.8
6.701,12.7
6.715,13.1
6.718,12.5
6.726,8.5
6.727,5
6.727,6.3
6.728,5.6
6.728,7.2
6.739,12.1
6.749,8.3
6.75,8.5
6.758,5
6.762,11.9
6.77,27.9
6.781,17.2
6.782,15
6.782,27.5
6.794,17.2
6.794,17.9
6.8,16.3
6.812,7
6.816,7.2
6.824,7.5
6.826,10.4
6.833,8.8
6.842,8.4
6.849,16.7
6.852,14.2
6.854,20.8
6.86,13.4
6.861,11.7
6.871,8.3
6.874,10.2
6.879,10.9
6.897,11
6.939,9.5
6.943,14.5
6.951,14.1
6.951,16.1
6.957,14.3
6.968,11.7
6.968,13.4
6.975,9.6
6.976,8.7
6.98,8.4
6.98,12.8
6.982,10.5
6.998,17.1
7.007,18.4
7.014,15.4
7.016,10.8
7.024,11.8
7.041,14.9
7.061,12.6
7.079,14.1
7.088,13
7.104,13.4
7.107,15.2
7.135,16.1
7.147,17.8
7.148,14.9
7.155,14.1
7.163,12.7
7.178,13.5
7.185,14.9
7.185,20
7.203,16.4
7.206,17.7
7.236,19.5
7.241,20.2
7.249,21.4
7.267,19.9
7.274,19
7.287,19.1
7.313,19.1
7.327,20.1
7.333,19.9
7.358,19.6
7.393,23.2
7.412,29.8
7.416,13.8
7.42,13.3
7.454,16.7
7.47,12
7.489,14.6
7.52,21.4
7.61,23
7.645,23.7
7.686,25
7.691,21.8
7.765,20.6
7.802,21.2
7.82,19.1
7.82,20.6
7.831,15.2
7.853,7
7.875,8.1
7.923,13.6
7.929,20.1
8.034,21.8
8.04,24.5
8.069,23.1
8.247,19.7
8.259,18.3
8.266,21.2
8.297,17.5
8.337,16.8
8.375,22.4
8.398,20.6
8.704,23.9
8.725,22
8.78,11.9
